,depth.x,age,depth_class,depth_class1,code_all,code_all2,code_all1,dC_dAge,%Corg,%N,aCAR,BD.,CN_ratio,d13C,d15N,PAR.,PHI,%T,acid,arom,carbo,aliph,carboArom,carboAliph,carboAcid
1,6,66,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.278161127,56.9142,1.3199,41.46530367,0.15664,43.12008485,-29.43152204,1.205775648,0.046511628,2.576666667,2.52,0.08995,0.0619,0.1312,0.1811,2.119547658,0.724461623,1.458588105
2,8,109,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.297912294,51.762,1.3933,37.59606474,0.15616,37.15064954,-29.58192817,1.477459739,0.046511628,2.436666667,2.37,0.09325,0.0627,0.1471,0.1774,2.346092504,0.829199549,1.577479893
3,10,152,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.180417824,51.3344,1.2966,64.88005781,0.1959,39.59154712,-29.54181987,1.407023123,0.064516129,2.363333333,2.42,0.0768,0.082,0.1341,0.1904,1.635365854,0.704306723,1.74609375
4,12,183,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.170666527,57.7558,1.5647,48.60728128,0.12624,36.91174027,-29.67217185,2.051015043,0.066666667,2.34,2.3,0.0843,0.0656,0.1387,0.174,2.114329268,0.797126437,1.645314353
5,14,213,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.317104744,46.0478,1.2527,27.31657824,0.10678,36.7588409,-29.39141374,2.31263676,0.055555556,1.84,2.3,0.0987,0.0774,0.1612,0.2072,2.082687339,0.777992278,1.633232016
6,16,249,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.050107104,55.0846,1.3659,31.90628379,0.11584466,40.32842814,-29.41146789,2.463572366,0.05,1.373333333,0.92,0.0698,0.0684,0.1035,0.1761,1.513157895,0.587734242,1.482808023
7,18,289,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.256188781,55.7481,1.5084,27.91459407,0.11016,36.95843278,-29.57190109,2.020827921,0.045454545,1.255,0.9,0.1022,0.0736,0.1489,0.2147,2.023097826,0.69352585,1.456947162
8,22,377,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.271319712,54.2386,1.262,20.39814124,0.09214,42.97828843,-29.24100761,1.396960749,0.040816327,1.366666667,2.4,0.0829,0.0641,0.1442,0.1807,2.249609984,0.798007748,1.739445115
9,24,426,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.23689599,56.8051,1.417,10.92431746,0.09423301,40.08828511,-29.62203647,2.040952669,0.020408163,1.363333333,0.8,0.0925,0.0853,0.155,0.2335,1.817116061,0.663811563,1.675675676
10,26,524,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.295424299,55.4523,1.2799,4.425549312,0.05826,43.32549418,-29.55184694,2.07113979,0.01369863,0.73,0.89,0.0842,0.0611,0.114,0.1887,1.865793781,0.604133545,1.35391924
11,28,670,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.264574076,59.2837,1.2834,10.4000548,0.07982,46.19269129,-29.79249675,2.040952669,0.021978022,1.0175,0.5,0.0641,0.047,0.083,0.1191,1.765957447,0.696893367,1.294851794
12,32,852,0-30,0-30,pal_0-30,pal_0-30,pal_0-30,-1.351948073,58.1105,1.1787,34.0095852,0.10242,49.30050055,-30.10333608,1.66864484,0.057142857,1.06,1.38,0.1202,0.0812,0.1759,0.2585,2.166256158,0.680464217,1.463394343
13,34,887,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.325193578,61.6485,1.2524,35.28266952,0.07154,49.22428936,-29.74236137,1.376836001,0.08,1.226666667,1.3,0.1049,0.0683,0.1415,0.2076,2.071742313,0.681599229,1.348903718
14,36,912,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.405876671,62.1458,1.1371,82.63248441,0.0964,54.65288893,-29.76241552,0.86365494,0.137931034,1.4125,1,0.0996,0.0642,0.1281,0.1864,1.995327103,0.68723176,1.286144578
15,40,941,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.333939187,58.26885,1.23705,69.20882659,0.09502,47.10306778,-29.79249675,1.180619713,0.125,1.45,2.1,0.0685,0.0515,0.0975,0.1395,1.893203883,0.698924731,1.423357664
16,42,957,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.328804705,63.4281,1.2833,80.22861799,0.10119,49.42577729,-29.80252382,1.26614989,0.125,1.413333333,1.25,0.119,0.0741,0.1581,0.2298,2.133603239,0.687989556,1.328571429
17,44,973,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.446459948,52.7793,1.0816,73.70101452,0.10473,48.79742973,-29.54181987,0.994465799,0.133333333,1.133333333,0.89,0.069,0.0489,0.0751,0.1298,1.535787321,0.578582435,1.088405797
18,46,988,30-50,50-100,pal_30-50,pal_30-50,pal_30-100,-1.203617064,61.0685,1.0335,68.30511725,0.08948,59.0890179,-29.7323343,0.018415545,0.125,1.29,1.26,0.0819,0.0527,0.0897,0.1459,1.702087287,0.614804661,1.095238095
