landcover,timestep,depth,tea type,code,code_all,code_all1,ml_mean,wrem_mean,d15N,∂15N_change,d13C,∂13C_change,%N,%N_change,%Corg,%C_change,CN_ratio,C:N_change,ABS,abs std. dev,%T,%trans std. dev,%trans_rel,ar_mean,Wt_mean,S_mean,k_mean,asy_mean,ml_g_mean,ml_r_mean,site_pH,site_ORP,site_%DO,site_µS/cm,site_MΩ*cm,site_WC%,site_BD,site_soilTavg,site_WTDavg,site_stdev,precip,acid_rel,arom_rel,carbo_rel,aliph_rel,acid,arom,carbo,aliph,carboArom,carboAliph,carboAcid
AC,3D,8,g,g8,tbi_g,tbi_g8,60.36783132,39.63216868,4.382478362,-2.082419572,-26.76497503,0.72511103,4.4847,-0.96455,46.3008,2.59185,10.32416884,3.56533966,1.4952,0.056220103,3.22,0.438178046,20.58,0.450025561,0.338794806,0.184736302,0.008406614,0.550074968,60.36783132,58.97582317,3.44,419.4,86.3,171,0.0058,86.51058801,0.150835714,26.14147287,-0.151376455,0.288314328,139.9333333,-0.003,-0.006,-0.1455,-0.0554,0.036,0.0655,0.0791,0.1039,1.207633588,0.183,2.197222222
AC,3D,8,r,r8,tbi_r,tbi_r8,58.97582317,41.02417683,1.171231589,-0.038397189,-25.99135187,1.13969687,1.3939,-2.422875,59.7824,-8.781225,42.88858598,6.93157352,0.742,0.008396428,18.1,0.393700394,4.64,0.450025561,0.338794806,0.184736302,0.008406614,0.550074968,60.36783132,58.97582317,3.44,419.4,86.3,171,0.0058,86.51058801,0.150835714,26.14147287,-0.151376455,0.288314328,139.9333333,0.0011,0.0088,-0.0833,-0.0073,0.0503,0.0605,0.1278,0.1214,2.112396694,0.2492,2.540755467
AC,6,8,g,g8,tbi_g,tbi_g8,58.86557187,41.13442813,4.422744779,-2.122685989,-27.13671603,1.09685203,4.6486,-1.12845,47.1867,1.70595,10.15073355,3.73877495,1.4868,0.010521407,3.24,0.089442719,20.56,0.436838403,0.508373323,0.208626081,0.011533818,0.563165875,58.86557187,43.77011476,3.283333333,496.3666667,87.1,222.6666667,0.004733333,82.51524913,0.182228571,25.75559482,-0.052620248,0.23000801,242.8666667,6.00E-04,-0.0103,-0.1465,-0.0591,0.0396,0.0612,0.0781,0.1002,1.276143791,0.1783,1.972222222
AC,6,8,r,r8,tbi_r,tbi_r8,43.77011476,56.22988524,1.141031776,-0.008197376,-26.09182241,1.24016741,1.3132,-2.342175,54.3471,-3.345925,41.38524216,8.43491734,0.8016,0.00427785,15.78,0.178885438,6.96,0.436838403,0.508373323,0.208626081,0.011533818,0.563165875,58.86557187,43.77011476,3.283333333,496.3666667,87.1,222.6666667,0.004733333,82.51524913,0.182228571,25.75559482,-0.052620248,0.23000801,242.8666667,0.0034,0.0052,-0.0875,-0.0042,0.0526,0.0569,0.1236,0.1245,2.172231986,0.2481,2.349809886
AC,12,8,g,g8,tbi_g,tbi_g8,63.74801804,36.25198196,3.838881729,-1.538822939,-27.2974689,1.2576049,4.2404,-0.72025,57.8359,-8.94325,13.63925573,0.25025277,1.744,0.021817424,1.84,0.089442719,21.96,0.472836882,0.376738059,0.143411445,0.003137768,0.547674552,63.74801804,55.57320388,3.47,409.5,52.8,66,0.0152,84.59923659,0.15741,27,-0.062633341,0.203960095,203.4833333,0.023,0.0297,-0.0713,-0.0033,0.062,0.1012,0.1533,0.156,1.514822134,0.3093,2.472580645
AC,12,8,r,r8,tbi_r,tbi_r8,55.57320388,44.42679612,1.151098381,-0.018263981,-25.86074017,1.00908517,1.586,-2.614975,55.6865,-4.685325,35.11128625,14.70887325,1.0022,0.012417729,9.94,0.313049517,12.8,0.472836882,0.376738059,0.143411445,0.003137768,0.547674552,63.74801804,55.57320388,3.47,409.5,52.8,66,0.0152,84.59923659,0.15741,27,-0.062633341,0.203960095,203.4833333,0.002,0.0136,-0.0547,-0.0026,0.0512,0.0653,0.1564,0.1261,2.395099541,0.2825,3.0546875
AC,12,50,g,g50,tbi_g,tbi_g50,75.19419317,24.80580683,2.852354508,-0.552295718,-27.88019803,1.84033403,2.7854,0.73475,58.131,-9.23835,20.86989301,-6.98038451,1.3734,0.014774979,4.26,0.134164079,19.54,0.557672581,0.524232477,-0.010276415,0.005255373,0.445238135,75.19419317,42.44218054,3.27,420.5,50.8,44,0.0227,89.88408303,0.124473333,27.1,-0.062633341,0.203960095,203.4833333,0.0314,1.00E-04,-0.067,0.0085,0.0704,0.0716,0.1576,0.1678,2.201117318,0.3254,2.238636364
AC,3D,50,g,g50,tbi_g,tbi_g50,68.90863188,31.09136812,3.073819802,-0.773761012,-27.46826882,1.42840482,4.1373,-0.61715,58.2878,-9.39515,14.08836681,-0.19885831,1.5214,0.027645976,3,0.223606798,20.8,0.510456675,0.482905879,0.075259648,0.048250871,0.489543325,68.90863188,46.04311938,3.72,429.8,87.4,87,0.0115,91.36294721,0.100262857,26.15366861,-0.151376455,0.288314328,139.9333333,-9.00E-04,-0.0294,-0.1629,-0.0682,0.0381,0.0421,0.0617,0.0911,1.465558195,0.1528,1.619422572
AC,3D,50,r,r50,tbi_r,tbi_r50,46.04311938,53.95688062,-0.288426035,1.421260435,-25.96121071,1.10955571,0.7959,-1.824875,58.3571,-7.355925,73.32215102,-23.50199152,0.4954,0.008142481,31.96,0.594138031,-9.22,0.510456675,0.482905879,0.075259648,0.048250871,0.489543325,68.90863188,46.04311938,3.72,429.8,87.4,87,0.0115,91.36294721,0.100262857,26.15366861,-0.151376455,0.288314328,139.9333333,-0.0151,-0.0193,-0.1574,-0.0577,0.0341,0.0324,0.0537,0.071,1.657407407,0.1247,1.574780059
AC,3W,50,g,g50,tbi_g,tbi_g50,74.76871198,25.23128802,3.114086219,-0.814027429,-28.02085679,1.98099279,2.8932,0.62695,54.4607,-5.56805,18.82369003,-4.93418153,0.9278,0.003834058,11.8,0.122474487,12,0.557355868,0.572906927,-0.00970266,0.016151667,0.442644186,74.76871198,38.18699146,3.46,488.6,91.76666667,155,0.008633333,88.58740375,0.11095,25.57986799,0.047209395,0.050436178,345.8,0.0576,0.0268,-0.022,0.0891,0.0966,0.0983,0.2026,0.2484,2.06103764,0.451,2.097308489
