,VAR,VAR_stdev,VIP,VIP_stdev
d15N,14.55625,11.4484034,3.05130108,3.85507235
d13C,12.34375,15.4355369,0.74827445,1.28780665
%N,12.82375,16.2339687,0.71767283,0.70475432
%Corg,NA,NA,NA,NA
CN_ratio,NA,NA,NA,NA
%T,22.1375,17.0152938,7.24779934,7.91995395
acid,6.745,13.5743434,0.02948532,0.04899305
arom,4.2575,4.08172145,0.03549215,0.0613626
carbo,6.96125,10.6123088,0.12761087,0.20625645
aliph,5.03375,9.7305747,0.02814302,0.0508659
carboArom,12.72125,17.7388673,1.11758523,1.88521253
carboAliph,14.84375,15.1920025,0.76190715,1.203037
carboAcid,15.9925,16.1787795,1.81571929,2.87537201
